key,value,date
Levels Nick Jonas,0,03/14/15
Levels Nick Jonas,0,03/21/15
Levels Nick Jonas,0,03/28/15
Levels Nick Jonas,0,04/04/15
Levels Nick Jonas,0,04/11/15
Levels Nick Jonas,0,04/18/15
Levels Nick Jonas,0,04/25/15
Levels Nick Jonas,0,05/02/15
Levels Nick Jonas,0,05/09/15
Levels Nick Jonas,0,05/16/15
Levels Nick Jonas,0,05/23/15
Levels Nick Jonas,0,05/30/15
Levels Nick Jonas,0,06/06/15
Levels Nick Jonas,0,06/13/15
Levels Nick Jonas,0,06/20/15
Levels Nick Jonas,0,06/27/15
Levels Nick Jonas,0,07/04/15
Levels Nick Jonas,0,07/11/15
Levels Nick Jonas,0,07/18/15
Levels Nick Jonas,0,07/25/15
Levels Nick Jonas,0,08/01/15
Levels Nick Jonas,0,08/08/15
Levels Nick Jonas,0,08/15/15
Levels Nick Jonas,0,08/22/15
Levels Nick Jonas,0,08/29/15
Levels Nick Jonas,0,09/05/15
Levels Nick Jonas,14,09/12/15
Levels Nick Jonas,31,09/19/15
Levels Nick Jonas,41,09/26/15
Levels Nick Jonas,45,10/03/15
Levels Nick Jonas,45,10/10/15
Levels Nick Jonas,55,10/17/15
Levels Nick Jonas,57,10/24/15
Levels Nick Jonas,56,10/31/15
Levels Nick Jonas,53,11/07/15
Levels Nick Jonas,41,11/14/15
Levels Nick Jonas,17,11/21/15
Levels Nick Jonas,2,11/28/15
Levels Nick Jonas,0,12/05/15
Levels Nick Jonas,0,12/12/15
Levels Nick Jonas,0,12/19/15
Levels Nick Jonas,0,12/26/15
History One Direction,0,01/03/15
History One Direction,0,01/10/15
History One Direction,0,01/17/15
History One Direction,0,01/24/15
History One Direction,0,01/31/15
History One Direction,0,02/07/15
History One Direction,0,02/14/15
History One Direction,0,02/21/15
History One Direction,0,02/28/15
History One Direction,0,03/07/15
History One Direction,0,03/14/15
History One Direction,0,03/21/15
History One Direction,0,03/28/15
History One Direction,0,04/04/15
History One Direction,0,04/11/15
History One Direction,0,04/18/15
History One Direction,0,04/25/15
History One Direction,0,05/02/15
History One Direction,0,05/09/15
History One Direction,0,05/16/15
History One Direction,0,05/23/15
History One Direction,0,05/30/15
History One Direction,0,06/06/15
History One Direction,0,06/13/15
History One Direction,0,06/20/15
History One Direction,0,06/27/15
History One Direction,0,07/04/15
History One Direction,0,07/11/15
History One Direction,0,07/18/15
History One Direction,0,07/25/15
History One Direction,0,08/01/15
History One Direction,0,08/08/15
History One Direction,0,08/15/15
History One Direction,0,08/22/15
History One Direction,0,08/29/15
History One Direction,0,09/05/15
History One Direction,0,09/12/15
History One Direction,0,09/19/15
History One Direction,0,09/26/15
History One Direction,0,10/03/15
History One Direction,0,10/10/15
History One Direction,0,10/17/15
History One Direction,0,10/24/15
History One Direction,0,10/31/15
History One Direction,0,11/07/15
History One Direction,0,11/14/15
History One Direction,0,11/21/15
History One Direction,36,11/28/15
History One Direction,0,12/05/15
History One Direction,0,12/12/15
History One Direction,0,12/19/15
History One Direction,0,12/26/15
Shine On Sawyer Fredericks,0,01/03/15
Shine On Sawyer Fredericks,0,01/10/15
Shine On Sawyer Fredericks,0,01/17/15
Shine On Sawyer Fredericks,0,01/24/15
Shine On Sawyer Fredericks,0,01/31/15
Shine On Sawyer Fredericks,0,02/07/15
Shine On Sawyer Fredericks,0,02/14/15
Shine On Sawyer Fredericks,0,02/21/15
Shine On Sawyer Fredericks,0,02/28/15
Shine On Sawyer Fredericks,0,03/07/15
Shine On Sawyer Fredericks,0,03/14/15
Shine On Sawyer Fredericks,0,03/21/15
Shine On Sawyer Fredericks,0,03/28/15
Shine On Sawyer Fredericks,0,04/04/15
Shine On Sawyer Fredericks,0,04/11/15
Shine On Sawyer Fredericks,0,04/18/15
Shine On Sawyer Fredericks,0,04/25/15
Shine On Sawyer Fredericks,0,05/02/15
Shine On Sawyer Fredericks,0,05/09/15
Shine On Sawyer Fredericks,0,05/16/15
Shine On Sawyer Fredericks,2,05/23/15
Shine On Sawyer Fredericks,0,05/30/15
Shine On Sawyer Fredericks,0,06/06/15
Shine On Sawyer Fredericks,0,06/13/15
Shine On Sawyer Fredericks,0,06/20/15
Shine On Sawyer Fredericks,0,06/27/15
Shine On Sawyer Fredericks,0,07/04/15
Shine On Sawyer Fredericks,0,07/11/15
Shine On Sawyer Fredericks,0,07/18/15
Shine On Sawyer Fredericks,0,07/25/15
Shine On Sawyer Fredericks,0,08/01/15
Shine On Sawyer Fredericks,0,08/08/15
Shine On Sawyer Fredericks,0,08/15/15
Shine On Sawyer Fredericks,0,08/22/15
Shine On Sawyer Fredericks,0,08/29/15
Shine On Sawyer Fredericks,0,09/05/15
Shine On Sawyer Fredericks,0,09/12/15
Shine On Sawyer Fredericks,0,09/19/15
Shine On Sawyer Fredericks,0,09/26/15
Shine On Sawyer Fredericks,0,10/03/15
Shine On Sawyer Fredericks,0,10/10/15
Shine On Sawyer Fredericks,0,10/17/15
Shine On Sawyer Fredericks,0,10/24/15
Shine On Sawyer Fredericks,0,10/31/15
Shine On Sawyer Fredericks,0,11/07/15
Shine On Sawyer Fredericks,0,11/14/15
Shine On Sawyer Fredericks,0,11/21/15
Shine On Sawyer Fredericks,0,11/28/15
Shine On Sawyer Fredericks,0,12/05/15
Shine On Sawyer Fredericks,0,12/12/15
Shine On Sawyer Fredericks,0,12/19/15
Shine On Sawyer Fredericks,0,12/26/15
